Município,Ano de Referência,Coletado,Recicláveis,Papel e Papelão,Plástico,Metais,Vidros,Outros
Orindiúva,2022,4032.00,307.00,105.00,98.00,62.00,42.00,0.00
Orlândia,2022,13874.50,1348.00,672.00,280.00,110.00,236.00,50.00
Osasco,2022,272512.00,1730.10,679.20,612.80,10.00,428.00,0.10
Oscar Bressane,2022,731.00,,,,,,
Osvaldo Cruz,2022,8564.70,206.00,11.00,17.00,16.00,71.00,91.00
Ourinhos,2022,28604.70,2486.40,,,,,
Ouroeste,2022,2564.50,227.00,96.00,36.00,60.00,18.00,17.00
Ouro Verde,2022,2627.30,39.50,21.30,3.00,2.60,10.60,2.00
Pacaembu,2022,2610.00,64.00,22.00,25.00,7.00,6.00,4.00
Palestina,2022,2704.80,,,,,,
Palmares Paulista,2022,3869.40,16.50,3.00,5.00,4.00,1.50,3.00
Palmeira D Oeste,2022,2150.00,,,,,,
Palmital,2022,4659.80,165.00,35.00,35.00,35.00,35.00,25.00
Panorama,2022,3102.00,140.00,,,,,
Paraguaçu Paulista,2022,8950.00,320.00,77.00,45.00,96.00,57.00,45.00
Paraibuna,2022,3299.60,,,,,,
Paraíso,2022,1650.00,60.00,15.00,20.00,10.00,15.00,0.00
Paranapanema,2022,9715.00,253.00,,,,,
Paranapuã,2022,3488.00,,,,,,
Parapuã,2022,2118.00,6.50,3.00,1.00,1.00,1.00,0.50
Pardinho,2022,2453.40,182.40,39.60,46.80,14.40,21.60,60.00
Pariquera-Açu,2022,3394.50,,,,,,
Parisi,2022,1735.50,,,,,,
Patrocínio Paulista,2022,4078.00,557.00,216.00,196.00,35.00,69.00,41.00
Paulicéia,2022,2060.00,20.00,,,,,
Paulínia,2022,30950.90,1178.10,667.20,306.60,46.70,157.60,0.00
Paulistânia,2022,794.60,139.40,,,,,
Paulo de Faria,2022,4992.00,,,,,,
Pederneiras,2022,7738.00,,,,,,
Pedra Bela,2022,1214.00,60.00,0.00,0.00,0.00,0.00,60.00
Pedranópolis,2022,374.90,,,,,,
Pedreira,2022,11311.00,852.00,430.00,218.00,98.00,94.00,12.00
Pedrinhas Paulista,2022,882.30,140.00,30.00,30.00,30.00,30.00,20.00
Pedro de Toledo,2022,530.00,,,,,,
Penápolis,2022,16746.10,1355.20,394.20,294.40,92.70,299.60,274.30
